No,drawtime,returntime,from,to,min,distance
SPB-18504,2019-05-01 2:45,2019-05-01 2:58,1965,1958,13,3600
SPB-02966,2019-05-01 2:47,2019-05-01 2:58,2620,1293,11,2220
SPB-11703,2019-05-01 2:47,2019-05-01 2:58,2175,2107,10,1960
SPB-17798,2019-05-01 2:38,2019-05-01 2:58,115,144,20,3220
SPB-07907,2019-05-01 2:49,2019-05-01 2:58,280,264,9,1620
SPB-04088,2019-05-01 2:51,2019-05-01 2:58,1049,1016,6,1430
SPB-05931,2019-05-01 2:18,2019-05-01 2:58,2334,1212,39,7770
SPB-13013,2019-05-01 2:49,2019-05-01 2:59,600,658,9,2100
SPB-12791,2019-05-01 2:49,2019-05-01 2:59,946,919,9,1170
SPB-12764,2019-05-01 2:40,2019-05-01 2:59,279,209,18,1850
SPB-18040,2019-05-01 2:24,2019-05-01 2:59,126,352,34,6810
SPB-03233,2019-05-01 2:30,2019-05-01 2:59,911,438,28,6770
SPB-17819,2019-05-01 1:26,2019-05-01 2:59,1357,583,92,12040
SPB-07628,2019-05-01 2:07,2019-05-01 2:59,1266,1244,48,62310
SPB-08144,2019-05-01 2:48,2019-05-01 2:59,1936,1952,10,1870
SPB-12226,2019-05-01 2:33,2019-05-01 2:59,2313,2363,0,0
SPB-02839,2019-05-01 2:53,2019-05-01 2:59,2177,2113,5,920
SPB-13168,2019-05-01 2:36,2019-05-01 2:59,1717,1651,22,3100
SPB-19989,2019-05-01 2:21,2019-05-01 2:59,1946,1911,37,4630
SPB-06402,2019-05-01 1:54,2019-05-01 2:59,2002,275,64,10600
SPB-08388,2019-05-01 2:50,2019-05-01 2:59,515,505,9,750
SPB-03786,2019-05-01 2:43,2019-05-01 2:59,2139,2153,16,3160
SPB-15398,2019-05-01 2:23,2019-05-01 2:59,349,195,35,8540
SPB-07257,2019-05-01 2:51,2019-05-01 2:59,540,626,8,1780
SPB-16371,2019-05-01 2:47,2019-05-01 2:59,427,103,11,2310
SPB-19792,2019-05-01 2:39,2019-05-01 2:59,2179,1911,19,56180
SPB-03850,2019-05-01 2:44,2019-05-01 3:00,756,706,15,3020
SPB-02033,2019-05-01 2:29,2019-05-01 3:00,2348,2610,30,5250
SPB-18988,2019-05-01 2:36,2019-05-01 3:00,2316,2332,23,2200
SPB-06629,2019-05-01 1:55,2019-05-01 3:00,2002,275,63,10570
SPB-09661,2019-05-01 2:46,2019-05-01 3:00,2506,2272,13,2160
SPB-02731,2019-05-01 2:40,2019-05-01 3:00,2210,2265,19,3670
SPB-09393,2019-05-01 1:34,2019-05-01 3:00,1737,1514,78,1850
SPB-12335,2019-05-01 2:47,2019-05-01 3:00,1211,2619,12,1530
SPB-16130,2019-05-01 2:57,2019-05-01 3:00,1288,1288,2,90
SPB-19962,2019-05-01 2:52,2019-05-01 3:00,1308,1362,7,1120
SPB-15657,2019-05-01 2:50,2019-05-01 3:00,2509,2271,9,1750
SPB-10452,2019-05-01 2:53,2019-05-01 3:00,951,931,6,1600
SPB-19151,2019-05-01 2:45,2019-05-01 3:00,303,160,14,2580
SPB-15986,2019-05-01 2:30,2019-05-01 3:00,2104,2109,29,4670
SPB-08424,2019-05-01 2:32,2019-05-01 3:00,1458,1447,27,1660
SPB-10850,2019-05-01 2:58,2019-05-01 3:00,2351,2341,2,310
SPB-05017,2019-05-01 2:38,2019-05-01 3:00,417,931,22,4090
SPB-14510,2019-05-01 2:40,2019-05-01 3:00,1533,1531,20,2930
SPB-03559,2019-05-01 2:31,2019-05-01 3:00,1842,1986,29,4350
SPB-01594,2019-05-01 1:34,2019-05-01 3:00,1357,163,86,12000
SPB-12253,2019-05-01 2:55,2019-05-01 3:00,839,809,4,710
SPB-13254,2019-05-01 1:31,2019-05-01 3:00,1357,163,84,9820
SPB-00178,2019-05-01 2:55,2019-05-01 3:00,230,284,5,1180
SPB-17018,2019-05-01 1:31,2019-05-01 3:00,1357,163,89,11610
SPB-00434,2019-05-01 2:06,2019-05-01 3:00,2159,2122,54,6750
SPB-18020,2019-05-01 2:29,2019-05-01 3:00,458,123,31,5340
SPB-14140,2019-05-01 0:31,2019-05-01 3:01,1160,1153,149,17620
SPB-15149,2019-05-01 2:48,2019-05-01 3:01,1235,1211,11,2240
SPB-19907,2019-05-01 2:43,2019-05-01 3:01,1274,1297,16,3420
SPB-16339,2019-05-01 2:45,2019-05-01 3:01,917,912,15,2660
SPB-06815,2019-05-01 2:41,2019-05-01 3:01,1991,712,19,2710
SPB-15623,2019-05-01 2:41,2019-05-01 3:01,1211,1215,19,3300
SPB-14767,2019-05-01 2:51,2019-05-01 3:01,1688,1636,9,1980
SPB-03813,2019-05-01 2:37,2019-05-01 3:01,424,907,23,3740
SPB-19206,2019-05-01 2:41,2019-05-01 3:01,1211,1215,19,3300
SPB-06250,2019-05-01 2:55,2019-05-01 3:01,1050,1011,5,1240
SPB-07469,2019-05-01 0:18,2019-05-01 3:01,1124,1153,157,17340
SPB-18624,2019-05-01 2:54,2019-05-01 3:01,344,342,6,950
SPB-18396,2019-05-01 2:54,2019-05-01 3:01,2175,2145,6,1700
SPB-18904,2019-05-01 2:37,2019-05-01 3:01,2299,2247,22,3510
SPB-11374,2019-05-01 2:54,2019-05-01 3:01,1306,1303,6,810
SPB-03822,2019-05-01 2:51,2019-05-01 3:01,1166,1172,10,2200
SPB-19541,2019-05-01 2:51,2019-05-01 3:01,1913,1960,9,1550
SPB-06016,2019-05-01 2:56,2019-05-01 3:01,2332,2319,5,670
SPB-17196,2019-05-01 2:50,2019-05-01 3:01,933,951,11,1250
SPB-12129,2019-05-01 2:51,2019-05-01 3:01,105,152,10,810
SPB-18501,2019-05-01 2:51,2019-05-01 3:01,1177,1112,10,2460
SPB-11507,2019-05-01 2:35,2019-05-01 3:02,158,456,26,5650
SPB-16280,2019-05-01 2:39,2019-05-01 3:02,3507,526,22,3960
SPB-05836,2019-05-01 2:43,2019-05-01 3:02,1157,1170,19,2360
SPB-18722,2019-05-01 2:52,2019-05-01 3:02,1459,1445,10,1240
SPB-12711,2019-05-01 2:55,2019-05-01 3:02,924,951,6,1470
SPB-03805,2019-05-01 2:54,2019-05-01 3:02,2317,1206,8,1830
SPB-03484,2019-05-01 2:49,2019-05-01 3:02,1719,1707,12,2340
SPB-03723,2019-05-01 2:50,2019-05-01 3:02,421,155,12,1840
SPB-14420,2019-05-01 2:32,2019-05-01 3:02,641,612,29,1290
SPB-08824,2019-05-01 2:53,2019-05-01 3:02,1530,1741,8,1310
SPB-18359,2019-05-01 2:21,2019-05-01 3:02,1405,1662,40,8660
SPB-05034,2019-05-01 2:34,2019-05-01 3:02,2222,2259,27,6030
SPB-15117,2019-05-01 2:56,2019-05-01 3:02,1010,1050,5,930
SPB-14480,2019-05-01 1:50,2019-05-01 3:02,2385,582,72,10890
SPB-18801,2019-05-01 3:00,2019-05-01 3:02,572,3517,2,650
SPB-08093,2019-05-01 2:42,2019-05-01 3:02,1734,1532,19,3980
SPB-11717,2019-05-01 2:42,2019-05-01 3:02,278,1986,19,3580
SPB-12486,2019-05-01 3:00,2019-05-01 3:02,587,513,2,250
SPB-04237,2019-05-01 2:37,2019-05-01 3:02,907,184,24,5480
SPB-17371,2019-05-01 2:47,2019-05-01 3:02,735,1169,15,2880
SPB-04910,2019-05-01 2:31,2019-05-01 3:02,1026,1002,30,5160
SPB-01970,2019-05-01 2:37,2019-05-01 3:03,813,2002,25,3310
SPB-03620,2019-05-01 1:31,2019-05-01 3:03,125,125,90,0
SPB-03457,2019-05-01 2:47,2019-05-01 3:03,3514,630,14,2640
SPB-14600,2019-05-01 2:39,2019-05-01 3:03,1012,1211,23,3650
SPB-15524,2019-05-01 2:52,2019-05-01 3:03,415,914,10,2700
SPB-16459,2019-05-01 2:56,2019-05-01 3:03,3520,549,6,1370
SPB-14382,2019-05-01 2:28,2019-05-01 3:03,540,520,34,6310
SPB-05868,2019-05-01 1:29,2019-05-01 3:03,125,125,93,11200
SPB-01980,2019-05-01 2:26,2019-05-01 3:03,2308,3515,36,3060
SPB-14993,2019-05-01 2:43,2019-05-01 3:03,293,201,19,1880
SPB-17380,2019-05-01 2:57,2019-05-01 3:03,2384,2375,5,1500
SPB-02961,2019-05-01 3:00,2019-05-01 3:03,146,146,2,0
SPB-13529,2019-05-01 2:46,2019-05-01 3:03,500,577,16,3460
SPB-15684,2019-05-01 2:43,2019-05-01 3:03,424,915,19,3130
SPB-03968,2019-05-01 2:57,2019-05-01 3:03,1506,1513,6,1440
SPB-08408,2019-05-01 2:54,2019-05-01 3:03,634,637,8,1330
SPB-06716,2019-05-01 2:36,2019-05-01 3:03,2308,3515,26,2910
SPB-18902,2019-05-01 2:49,2019-05-01 3:03,390,522,13,2830
SPB-16067,2019-05-01 2:57,2019-05-01 3:03,289,286,6,680
SPB-06425,2019-05-01 2:55,2019-05-01 3:03,1512,1535,8,1310
SPB-18602,2019-05-01 2:48,2019-05-01 3:03,1988,736,14,3320
SPB-09144,2019-05-01 2:58,2019-05-01 3:03,2306,2308,5,480
SPB-08753,2019-05-01 2:55,2019-05-01 3:03,1512,1535,7,1280
SPB-14565,2019-05-01 2:13,2019-05-01 3:04,2280,2165,49,4610
SPB-14081,2019-05-01 2:39,2019-05-01 3:04,1656,1714,24,3500
SPB-02766,2019-05-01 2:50,2019-05-01 3:04,210,257,13,2110
SPB-18320,2019-05-01 2:56,2019-05-01 3:04,1224,1206,7,1070
SPB-04015,2019-05-01 2:04,2019-05-01 3:04,2111,2140,58,3560
SPB-12231,2019-05-01 2:53,2019-05-01 3:04,535,565,10,1850
SPB-05846,2019-05-01 2:43,2019-05-01 3:04,519,3514,20,2460
SPB-16471,2019-05-01 2:38,2019-05-01 3:04,1173,1173,25,1830
SPB-07719,2019-05-01 2:34,2019-05-01 3:04,2280,2167,29,4340
SPB-15732,2019-05-01 2:59,2019-05-01 3:04,549,3542,4,168390
SPB-17895,2019-05-01 2:50,2019-05-01 3:04,1300,1218,13,1610
SPB-13566,2019-05-01 2:50,2019-05-01 3:04,125,124,13,1900
SPB-17658,2019-05-01 3:01,2019-05-01 3:04,1412,1416,2,550
SPB-18201,2019-05-01 1:48,2019-05-01 3:04,912,400,75,5060
SPB-12802,2019-05-01 2:32,2019-05-01 3:04,2407,2235,28,3830
SPB-07529,2019-05-01 3:01,2019-05-01 3:04,1514,1514,2,190
SPB-18719,2019-05-01 2:37,2019-05-01 3:04,106,267,26,1730
SPB-15871,2019-05-01 2:56,2019-05-01 3:04,1639,1630,8,840
SPB-17582,2019-05-01 3:01,2019-05-01 3:05,1348,1346,3,560
SPB-01151,2019-05-01 2:47,2019-05-01 3:05,284,247,17,2420
SPB-08183,2019-05-01 2:57,2019-05-01 3:05,1117,1159,7,1130
SPB-12790,2019-05-01 2:47,2019-05-01 3:05,284,247,17,3140
SPB-15371,2019-05-01 2:42,2019-05-01 3:05,247,293,22,1560
SPB-19266,2019-05-01 2:53,2019-05-01 3:05,1911,2067,11,2540
SPB-17508,2019-05-01 2:49,2019-05-01 3:05,1026,1001,15,3680
SPB-07282,2019-05-01 2:29,2019-05-01 3:05,452,1455,35,8460
SPB-15482,2019-05-01 2:49,2019-05-01 3:05,204,247,15,3070
SPB-19291,2019-05-01 2:43,2019-05-01 3:05,583,1328,21,4890
SPB-06490,2019-05-01 2:40,2019-05-01 3:05,264,184,24,5830
SPB-15850,2019-05-01 2:47,2019-05-01 3:05,1318,1315,18,2300
SPB-08580,2019-05-01 2:27,2019-05-01 3:05,128,907,36,6380
SPB-10461,2019-05-01 2:32,2019-05-01 3:05,650,1422,33,7130
SPB-18211,2019-05-01 2:57,2019-05-01 3:05,1684,1407,8,870
SPB-08210,2019-05-01 2:03,2019-05-01 3:05,2315,1264,60,9430
SPB-16965,2019-05-01 2:51,2019-05-01 3:05,575,646,13,3240
SPB-19695,2019-05-01 2:51,2019-05-01 3:06,1913,1983,14,1870
SPB-03935,2019-05-01 2:48,2019-05-01 3:06,1318,1315,17,2340
SPB-09274,2019-05-01 3:00,2019-05-01 3:06,380,347,5,660
SPB-17537,2019-05-01 2:47,2019-05-01 3:06,1503,1359,18,4230
SPB-17167,2019-05-01 2:39,2019-05-01 3:06,1008,544,26,3560
SPB-19686,2019-05-01 2:44,2019-05-01 3:06,2173,252,21,1740
SPB-17152,2019-05-01 2:50,2019-05-01 3:06,1203,1230,14,1380
SPB-11224,2019-05-01 2:58,2019-05-01 3:06,2304,2365,6,1030
SPB-07544,2019-05-01 2:44,2019-05-01 3:06,812,3104,19,64050
SPB-17420,2019-05-01 3:02,2019-05-01 3:06,2358,2340,3,1040
SPB-12282,2019-05-01 2:51,2019-05-01 3:06,2312,2309,14,730
SPB-09510,2019-05-01 2:37,2019-05-01 3:06,417,194,28,5380
SPB-05134,2019-05-01 2:56,2019-05-01 3:06,961,933,9,1910
SPB-05398,2019-05-01 2:41,2019-05-01 3:06,275,1994,24,3880
SPB-10043,2019-05-01 2:50,2019-05-01 3:06,2331,1249,15,3430
SPB-17951,2019-05-01 2:49,2019-05-01 3:06,2332,2310,16,2580
SPB-09499,2019-05-01 2:41,2019-05-01 3:06,650,1455,24,2020
SPB-05730,2019-05-01 2:55,2019-05-01 3:06,526,627,10,2600
SPB-05177,2019-05-01 2:31,2019-05-01 3:06,431,635,34,6060
SPB-17600,2019-05-01 2:51,2019-05-01 3:06,1975,1955,14,1460
SPB-03195,2019-05-01 2:51,2019-05-01 3:06,1971,1929,15,3360
SPB-13919,2019-05-01 2:50,2019-05-01 3:06,1259,1257,16,2890
SPB-04627,2019-05-01 2:53,2019-05-01 3:06,364,361,13,740
SPB-17258,2019-05-01 2:48,2019-05-01 3:06,831,844,17,4120
SPB-05204,2019-05-01 2:34,2019-05-01 3:06,1153,714,31,4560
SPB-12957,2019-05-01 2:19,2019-05-01 3:07,2618,2302,46,7980
SPB-19905,2019-05-01 2:47,2019-05-01 3:07,1531,1741,18,3600
SPB-12515,2019-05-01 2:58,2019-05-01 3:07,1643,1454,9,1230
SPB-17421,2019-05-01 2:53,2019-05-01 3:07,1208,1278,13,2160
SPB-19214,2019-05-01 2:33,2019-05-01 3:07,2026,818,34,5420
SPB-06148,2019-05-01 2:24,2019-05-01 3:07,1153,714,42,4610
SPB-08013,2019-05-01 3:02,2019-05-01 3:07,2380,2348,5,1020
SPB-08836,2019-05-01 2:55,2019-05-01 3:07,1060,1274,11,1270
SPB-03648,2019-05-01 2:48,2019-05-01 3:07,1908,285,19,3780
SPB-14379,2019-05-01 2:43,2019-05-01 3:07,2332,2404,24,3720
SPB-16317,2019-05-01 2:38,2019-05-01 3:07,1339,1637,28,7000
SPB-16005,2019-05-01 2:44,2019-05-01 3:07,124,830,23,3370
SPB-04380,2019-05-01 2:35,2019-05-01 3:07,958,958,32,70
SPB-08280,2019-05-01 2:29,2019-05-01 3:07,1313,382,37,49830
SPB-08379,2019-05-01 2:50,2019-05-01 3:08,1319,1332,17,3240
SPB-09001,2019-05-01 3:00,2019-05-01 3:08,1011,1012,7,1180
SPB-19334,2019-05-01 3:01,2019-05-01 3:08,2119,2122,6,1060
SPB-14698,2019-05-01 2:56,2019-05-01 3:08,3541,562,11,2700
SPB-13358,2019-05-01 3:02,2019-05-01 3:08,732,1128,5,1180
SPB-09285,2019-05-01 2:48,2019-05-01 3:08,2255,2205,18,1660
SPB-15810,2019-05-01 3:05,2019-05-01 3:08,841,841,2,0
SPB-02405,2019-05-01 2:44,2019-05-01 3:08,223,286,23,5050
SPB-05118,2019-05-01 2:56,2019-05-01 3:08,180,144,11,2320
SPB-19153,2019-05-01 2:17,2019-05-01 3:08,1619,1672,50,8900
SPB-09005,2019-05-01 2:41,2019-05-01 3:08,2255,2205,25,3710
SPB-01623,2019-05-01 2:57,2019-05-01 3:08,1673,1682,10,2700
SPB-19947,2019-05-01 2:51,2019-05-01 3:08,1911,2173,16,2470
SPB-09434,2019-05-01 2:50,2019-05-01 3:08,166,403,17,2820
SPB-13169,2019-05-01 2:58,2019-05-01 3:09,912,958,0,0
SPB-15336,2019-05-01 2:57,2019-05-01 3:09,1442,1401,11,1930
SPB-19682,2019-05-01 2:52,2019-05-01 3:09,1650,1737,15,2710
SPB-19096,2019-05-01 2:36,2019-05-01 3:09,739,1172,32,5110
SPB-15706,2019-05-01 2:05,2019-05-01 3:09,931,414,63,7850
SPB-16050,2019-05-01 2:44,2019-05-01 3:09,1729,1690,24,3840
SPB-13351,2019-05-01 2:59,2019-05-01 3:09,2002,2025,9,0
SPB-19806,2019-05-01 3:03,2019-05-01 3:09,623,617,5,970
SPB-08643,2019-05-01 2:40,2019-05-01 3:09,1653,1730,27,4810
SPB-18932,2019-05-01 2:37,2019-05-01 3:09,183,956,31,6380
SPB-19104,2019-05-01 3:00,2019-05-01 3:09,1235,2619,8,1560
SPB-05825,2019-05-01 2:59,2019-05-01 3:09,176,170,10,1780
SPB-10731,2019-05-01 2:57,2019-05-01 3:09,1920,1916,12,1380
SPB-06316,2019-05-01 2:51,2019-05-01 3:09,2214,2220,18,1230
SPB-10412,2019-05-01 2:54,2019-05-01 3:09,1201,1203,14,320
SPB-05274,2019-05-01 2:38,2019-05-01 3:09,118,257,31,5410
SPB-14094,2019-05-01 3:06,2019-05-01 3:09,102,107,3,850
SPB-16694,2019-05-01 2:33,2019-05-01 3:09,3518,1454,36,7340
SPB-00938,2019-05-01 2:53,2019-05-01 3:09,1224,2619,16,2450
SPB-05143,2019-05-01 2:51,2019-05-01 3:09,1354,363,17,2630
SPB-10520,2019-05-01 2:55,2019-05-01 3:10,704,275,13,2730
SPB-08493,2019-05-01 2:43,2019-05-01 3:10,1535,1546,26,3550
SPB-02386,2019-05-01 2:43,2019-05-01 3:10,2268,2334,26,4110
SPB-05080,2019-05-01 2:13,2019-05-01 3:10,1684,1401,56,7840
SPB-15731,2019-05-01 3:02,2019-05-01 3:10,119,146,8,1670
SPB-17761,2019-05-01 2:50,2019-05-01 3:10,733,706,19,2450
SPB-18230,2019-05-01 2:46,2019-05-01 3:10,1173,1199,24,2470
SPB-18225,2019-05-01 3:00,2019-05-01 3:10,839,803,9,1970
SPB-13432,2019-05-01 3:00,2019-05-01 3:10,2289,2222,10,0
SPB-17338,2019-05-01 2:54,2019-05-01 3:10,1352,1352,15,3840
SPB-16374,2019-05-01 2:48,2019-05-01 3:10,153,915,21,4290
SPB-04674,2019-05-01 2:54,2019-05-01 3:10,1352,1352,16,3790
SPB-05761,2019-05-01 2:34,2019-05-01 3:10,822,138,36,7290
SPB-16667,2019-05-01 2:50,2019-05-01 3:11,131,961,19,3950
SPB-17917,2019-05-01 3:07,2019-05-01 3:11,1985,1920,3,790
SPB-13109,2019-05-01 2:26,2019-05-01 3:11,1737,630,41,8760
SPB-14791,2019-05-01 2:47,2019-05-01 3:11,1503,1537,23,4450
SPB-05734,2019-05-01 2:57,2019-05-01 3:11,633,1321,13,2090
SPB-04673,2019-05-01 2:19,2019-05-01 3:11,129,565,51,13390
SPB-14328,2019-05-01 2:46,2019-05-01 3:11,1646,1640,24,5390
SPB-09495,2019-05-01 2:55,2019-05-01 3:11,703,729,15,2130
SPB-06210,2019-05-01 2:52,2019-05-01 3:11,1414,646,18,4280
SPB-07628,2019-05-01 2:59,2019-05-01 3:11,1244,1245,11,730
SPB-03824,2019-05-01 2:25,2019-05-01 3:11,2016,846,45,9250
SPB-08036,2019-05-01 2:45,2019-05-01 3:11,347,349,24,2470
SPB-17448,2019-05-01 2:52,2019-05-01 3:11,1299,1278,18,3680
SPB-01680,2019-05-01 2:53,2019-05-01 3:11,422,407,17,2200
SPB-15756,2019-05-01 2:57,2019-05-01 3:11,567,3518,13,3230
SPB-03407,2019-05-01 3:01,2019-05-01 3:11,2408,2387,10,1810
SPB-14838,2019-05-01 3:05,2019-05-01 3:11,2620,1260,5,990
SPB-03528,2019-05-01 2:52,2019-05-01 3:11,422,407,19,2230
SPB-11874,2019-05-01 2:47,2019-05-01 3:11,2175,2107,20,1650
SPB-17988,2019-05-01 2:09,2019-05-01 3:11,111,176,62,0
SPB-17186,2019-05-01 2:40,2019-05-01 3:11,2407,2034,30,6230
SPB-08089,2019-05-01 2:47,2019-05-01 3:11,282,257,23,39020
SPB-05816,2019-05-01 2:55,2019-05-01 3:11,1047,1012,16,1840
SPB-09072,2019-05-01 2:58,2019-05-01 3:12,2302,2363,12,1850
SPB-07077,2019-05-01 3:01,2019-05-01 3:12,911,912,10,2020
SPB-13700,2019-05-01 2:58,2019-05-01 3:12,106,105,13,290
SPB-08909,2019-05-01 2:57,2019-05-01 3:12,169,113,13,2210
SPB-03139,2019-05-01 2:58,2019-05-01 3:12,1047,1012,13,1810
SPB-14317,2019-05-01 2:58,2019-05-01 3:12,1854,2106,13,2850
SPB-17641,2019-05-01 2:59,2019-05-01 3:12,820,829,12,3470
SPB-13928,2019-05-01 2:34,2019-05-01 3:12,2371,2618,37,7010
SPB-18515,2019-05-01 3:04,2019-05-01 3:12,704,722,6,870
SPB-04855,2019-05-01 2:05,2019-05-01 3:12,2277,257,66,11290
SPB-06736,2019-05-01 2:51,2019-05-01 3:12,3520,1210,20,4030
SPB-17461,2019-05-01 2:57,2019-05-01 3:12,3104,813,14,4450
SPB-00778,2019-05-01 3:08,2019-05-01 3:12,1358,1313,3,410
SPB-10669,2019-05-01 2:52,2019-05-01 3:12,1023,1042,18,2380
SPB-12679,2019-05-01 2:51,2019-05-01 3:12,837,534,20,2790
SPB-19373,2019-05-01 2:56,2019-05-01 3:12,567,508,15,2510
SPB-06337,2019-05-01 2:54,2019-05-01 3:12,519,3522,17,0
SPB-14050,2019-05-01 2:53,2019-05-01 3:12,2326,2389,18,2060
SPB-16136,2019-05-01 2:55,2019-05-01 3:12,934,912,17,2690
SPB-11767,2019-05-01 3:05,2019-05-01 3:12,2102,2157,7,740
SPB-09857,2019-05-01 2:51,2019-05-01 3:12,175,395,20,2780
SPB-11728,2019-05-01 2:59,2019-05-01 3:13,754,1119,12,2450
SPB-09301,2019-05-01 2:56,2019-05-01 3:13,2610,1013,16,2860
SPB-05755,2019-05-01 2:57,2019-05-01 3:13,346,382,12,2200
SPB-07551,2019-05-01 3:04,2019-05-01 3:13,732,713,7,1040
SPB-07817,2019-05-01 2:45,2019-05-01 3:13,252,1854,26,3670
SPB-09044,2019-05-01 2:39,2019-05-01 3:13,1705,1662,31,2950
SPB-04576,2019-05-01 2:56,2019-05-01 3:13,750,1943,15,3710
SPB-09682,2019-05-01 3:02,2019-05-01 3:13,590,3518,10,2170
SPB-13299,2019-05-01 3:04,2019-05-01 3:13,1231,1226,8,1580
SPB-08088,2019-05-01 3:06,2019-05-01 3:13,1170,1175,6,1030
SPB-18560,2019-05-01 2:54,2019-05-01 3:13,1911,2140,18,3710
SPB-02132,2019-05-01 2:59,2019-05-01 3:13,1044,1019,13,2930
SPB-15130,2019-05-01 3:08,2019-05-01 3:13,1515,1531,4,910
SPB-09295,2019-05-01 2:40,2019-05-01 3:13,106,166,32,3640
SPB-16487,2019-05-01 3:02,2019-05-01 3:13,426,144,11,1700
SPB-06700,2019-05-01 2:46,2019-05-01 3:13,334,374,26,3460
SPB-08822,2019-05-01 3:04,2019-05-01 3:13,1215,1214,8,1880
SPB-10365,2019-05-01 3:06,2019-05-01 3:13,2511,2281,6,1280
SPB-16552,2019-05-01 3:01,2019-05-01 3:13,2173,2103,12,2050
SPB-16493,2019-05-01 2:08,2019-05-01 3:13,111,176,64,9790
SPB-11614,2019-05-01 3:08,2019-05-01 3:13,1318,1314,5,1200
SPB-06953,2019-05-01 2:55,2019-05-01 3:13,1446,1425,17,2420
SPB-13041,2019-05-01 0:10,2019-05-01 3:13,2070,2015,168,45030
SPB-19949,2019-05-01 2:58,2019-05-01 3:13,2382,1222,14,3660
SPB-04522,2019-05-01 3:08,2019-05-01 3:14,230,236,5,1060
SPB-13808,2019-05-01 1:23,2019-05-01 3:14,1241,575,110,11490
SPB-14300,2019-05-01 3:02,2019-05-01 3:14,1224,2619,11,2450
SPB-17374,2019-05-01 3:11,2019-05-01 3:14,1372,1321,2,1010
SPB-12366,2019-05-01 2:43,2019-05-01 3:14,424,176,28,4460
SPB-01292,2019-05-01 3:07,2019-05-01 3:14,1520,1536,7,1130
SPB-10130,2019-05-01 2:38,2019-05-01 3:14,115,106,34,1620
SPB-12591,2019-05-01 3:06,2019-05-01 3:14,1448,1433,8,1430
SPB-10445,2019-05-01 2:06,2019-05-01 3:14,3501,1535,68,16080
SPB-17426,2019-05-01 2:42,2019-05-01 3:14,930,184,32,6520
SPB-17722,2019-05-01 3:11,2019-05-01 3:14,624,624,2,0
SPB-10928,2019-05-01 2:58,2019-05-01 3:14,1224,2355,15,12190
SPB-04001,2019-05-01 2:52,2019-05-01 3:15,1691,1627,21,3150
SPB-16728,2019-05-01 2:43,2019-05-01 3:15,651,1349,31,6140
SPB-08132,2019-05-01 2:57,2019-05-01 3:15,516,3510,17,1480
SPB-19080,2019-05-01 2:58,2019-05-01 3:15,116,154,16,3130
SPB-19414,2019-05-01 2:47,2019-05-01 3:15,2265,2504,27,4920
SPB-13263,2019-05-01 2:39,2019-05-01 3:15,421,408,36,2970
SPB-00700,2019-05-01 2:59,2019-05-01 3:15,1203,2607,15,2990
SPB-16327,2019-05-01 3:08,2019-05-01 3:15,1020,1050,6,1020
SPB-10703,2019-05-01 3:09,2019-05-01 3:15,581,581,6,1050
SPB-19569,2019-05-01 3:10,2019-05-01 3:15,1228,2617,4,1030
SPB-05754,2019-05-01 2:48,2019-05-01 3:15,1846,1821,26,1600
SPB-14514,2019-05-01 2:28,2019-05-01 3:15,1222,1051,46,8210
SPB-04937,2019-05-01 2:55,2019-05-01 3:15,511,558,20,2920
SPB-10067,2019-05-01 3:09,2019-05-01 3:15,2032,2060,5,870
SPB-03787,2019-05-01 2:29,2019-05-01 3:15,1531,1741,45,4930
SPB-12518,2019-05-01 3:09,2019-05-01 3:15,1975,1913,5,470
SPB-17558,2019-05-01 3:11,2019-05-01 3:15,3514,519,4,770
SPB-04705,2019-05-01 3:03,2019-05-01 3:15,2104,2265,12,2180
SPB-03261,2019-05-01 2:56,2019-05-01 3:15,2311,2277,18,3140
SPB-11611,2019-05-01 2:55,2019-05-01 3:15,511,558,20,2540
SPB-14545,2019-05-01 3:09,2019-05-01 3:15,2511,2222,6,700
SPB-07721,2019-05-01 3:10,2019-05-01 3:16,1050,1020,5,550
SPB-08140,2019-05-01 3:02,2019-05-01 3:16,372,361,13,0
SPB-08190,2019-05-01 3:04,2019-05-01 3:16,2247,2273,10,2290
SPB-16122,2019-05-01 2:39,2019-05-01 3:16,390,524,36,6490
SPB-07912,2019-05-01 3:05,2019-05-01 3:16,1319,1313,10,1350
SPB-14058,2019-05-01 3:05,2019-05-01 3:16,2336,2359,10,2860
SPB-18268,2019-05-01 2:48,2019-05-01 3:16,542,646,28,6020
SPB-11929,2019-05-01 2:47,2019-05-01 3:16,1207,1264,27,6150
SPB-01933,2019-05-01 2:56,2019-05-01 3:16,180,109,19,5270
SPB-05332,2019-05-01 3:00,2019-05-01 3:16,1158,1170,16,2670
SPB-06792,2019-05-01 3:03,2019-05-01 3:16,1288,1204,12,1820
SPB-08988,2019-05-01 2:52,2019-05-01 3:16,1242,1283,22,3700
SPB-12079,2019-05-01 2:41,2019-05-01 3:16,1222,1059,32,5970
SPB-08698,2019-05-01 3:09,2019-05-01 3:16,457,356,6,1090
SPB-01926,2019-05-01 2:52,2019-05-01 3:16,820,844,23,4450
SPB-17602,2019-05-01 3:02,2019-05-01 3:16,2322,2618,13,2870
SPB-00320,2019-05-01 3:11,2019-05-01 3:16,2220,2036,5,1070
SPB-15326,2019-05-01 3:11,2019-05-01 3:16,3102,115,5,0
