place,place_name
502,뚝섬유원지역 1번출구 앞
503,더샵스타시티 C동 앞
504,신자초교입구교차로
505,자양사거리 광진아크로텔 앞
506,금호 어울림 아파트 앞
507,성수아이에스비즈타워 앞
508,성수아카데미타워 앞
509,이마트 버스정류소 옆
510,서울숲 남문 버스정류소 옆
511,서울숲역 4번 출구 옆
512,뚝섬역 1번 출구 옆
513,뚝섬역 5번 출구 정류소 옆
514,성수사거리 버스정류장 앞
515,광양중학교 앞
516,광진메디칼 앞
518,청계천 박물관 앞
519,양지사거리
520,상왕십리역 4번 출구 앞
521,왕십리역 11번 출구 앞
522,금호역 1번출구 앞
523,옥수동성당 옆
524,래미안금호하이리버 아파트 102동 옆
525,한양대병원사거리
526,용답토속공원 앞
529,장한평역 8번 출구 앞
530,청계벽산아파트 앞
533,우리은행 금호동 지점 앞
534,금호사거리
535,응봉삼거리
536,행당역 2번출구 앞
537,한양대후문역 부근
538,답십리역 8번출구 앞
539,군자교교차로
540,군자역 7번출구 베스트샵 앞
542,강변역 4번출구 뒤
543,구의공원(테크노마트 앞)
544,광남중학교
546,잠실대교북단 교차로
548,자양나들목
549,아차산역 3번출구
550,서울시설공단 앞
551,구의삼성쉐르빌 앞
552,대림아크로리버 앞
553,중곡 성원APT 앞
555,구의3동주민센터
556,달맞이공원
557,도선동 주민센터 앞
558,성동광진 교육지원청 앞
559,왕십리역 4번 출구 건너편
560,비전교회 앞
561,서울숲역 2번출구 앞
562,군자지하보도 앞
563,성동세무서 건너편
564,금호역 3번출구
565,옥수역 3번출구
567,성수역 2번출구 앞
568,청계8가사거리 부근
569,응봉현대아파트 정류소
571,어린이대공원역6번출구
572,국립정신 건강센터 앞
573,구의문주차장 앞
574,아차산역4번출구
575,중앙농협 중곡지점
576,광나루역 3번 출구
577,광진청소년수련관
578,성동세무서 부근
579,마장역 4번출구
580,신금호역 3번출구 뒤
581,용답초등학교
582,경일중학교 앞
583,청계천 생태교실 앞
584,광진광장 교통섬
585,성수2가1동 공영주차장 인근
586,마장동 주민센터
587,유니베라 앞
588,뚝섬 유원지역
589,성수역3번출구
590,건국대학교 (입학정보관)
591,건국대학교 (행정관)
592,건국대학교 학생회관
593,자양중앙나들목
594,중랑물재생센터(서울새활용플라자)
600,휘경2동 주민센터
601,용신동주민센터
602,장안동 사거리
604,답십리초등학교 옆 공원
605,신설동역8번출구
606,휘경공고앞
607,신이문역 2번출구
608,전농삼성아파트
609,제기2교
610,동대문중 교차로
612,시립동부병원 앞 사거리
613,신설동역 10번출구 앞
614,용두동 사거리
615,용두동 레미안허브리츠아파트 앞
616,서울시립대 앞
617,청솔우성아파트 앞
621,동대문중학교 옆
622,전농사거리 교통섬
623,서울시립대 정문 앞
624,전농동 동아아파트 앞
625,답십리초등학교 앞(현대시장 옆)
626,군자교 서측 녹지대
627,장안동삼거리 교통섬
628,휘봉고등학교 앞
630,동대문구 보건소
631,답십리역 1번출구
633,청량리 기업은행 앞
634,외국어대 정문 앞
635,시조사 앞 (청량고정문 옆)
636,세종대왕기념관 교차로
637,KAIST 경영대학 앞
638,서울시립대 정보기술관
639,서울시립대 후문
640,KEB하나은행 청량리역지점
641,용두역 4번출구
642,신답역 사거리
643,동대문구민체육센터 (육교아래)
646,장한평역 1번출구 (국민은행앞)
647,신이문역 1번출구
648,장안동위더스빌옆
650,중랑교사거리
651,우리은행청량리지점앞
652,답십리 래미안엘파인아파트 입구
654,전농동 텃골공원
656,영휘원 교차로
657,동대문롯데캐슬아파트 앞
658,촬영소 사거리
659,제기역1번출구
660,동의보감타워
661,경희대학교 청운관
663,외대앞역 4번출구
700,KB국민은행 염창역 지점 앞
701,목동사거리 부근
702,목4동주민센터 옆
703,오목교역 7번출구 앞
704,남부법원검찰청 교차로
706,신정네거리역
707,신정3동주민센터
708,서울출입국관리사무소 앞
709,신정3동 현장민원실 앞
710,서부화물트럭터미널 사거리
711,신일해피트리아파트 앞
712,강월초교입구 사거리
713,양서중학교 옆
714,한국SGI 양천문화회관 앞
716,신정6동 주민센터 인근
719,홍익병원앞 교차로
720,서울강월초등학교 앞
722,LG전자베스트샵 신정점
723,SBS방송국
724,계남공원 입구 주출입구 좌측
725,양강중학교앞 교차로
726,목동3단지 시내버스정류장
729,서부식자재마트 건너편
